Library_Name,Address,City,State,Zip,Phone,Website,County
Abington Free Library,1030 Old York Rd,Abington,PA,19001,(215) 885-5180,https://www.mclinc.org/abington,Montgomery
Allentown Public Library,1210 Hamilton St,Allentown,PA,18102,(610) 820-2400,https://www.allentownpl.org,Lehigh
Andrew Bayne Memorial Library,34 N Balph Ave,Bellevue,PA,15202,(412) 766-7447,https://www.andrewbaynelibrary.org,Allegheny
Bethlehem Area Public Library,11 W Church St,Bethlehem,PA,18018,(610) 867-3761,https://www.bapl.org,Northampton
Braddock Carnegie Library,419 Library St,Braddock,PA,15104,(412) 351-5356,https://www.braddockcarnegielibrary.org,Allegheny
Carnegie Free Library of Swissvale,7400 Noble St,Swissvale,PA,15218,(412) 731-1019,https://www.swissvalelibrary.org,Allegheny
Carnegie Library of Homestead,510 E 10th Ave,Munhall,PA,15120,(412) 462-3444,https://www.carnegieofhomestead.org,Allegheny
Carnegie Library of Pittsburgh - Main,4400 Forbes Ave,Pittsburgh,PA,15213,(412) 622-3114,https://www.carnegielibrary.org,Allegheny
Chester County Library,450 Exton Square Pkwy,Exton,PA,19341,(610) 280-2600,https://www.ccls.org,Chester
Easton Area Public Library,515 Church St,Easton,PA,18042,(610) 258-2917,https://www.eastonpl.org,Northampton
Erie County Public Library,160 E Front St,Erie,PA,16507,(814) 451-6900,https://www.erielibrary.org,Erie
Free Library of Philadelphia - Central,1901 Vine St,Philadelphia,PA,19103,(215) 686-5322,https://www.freelibrary.org,Philadelphia
Hershey Public Library,701 Cocoa Ave,Hershey,PA,17033,(717) 533-6555,https://www.hersheylibrary.org,Dauphin
Lancaster Public Library,125 N Duke St,Lancaster,PA,17602,(717) 394-2651,https://www.lancasterpl.org,Lancaster
Lansdowne Public Library,55 S Lansdowne Ave,Lansdowne,PA,19050,(610) 623-0239,https://www.lansdownelibrary.org,Delaware
Monroeville Public Library,4000 Gateway Campus Blvd,Monroeville,PA,15146,(412) 372-0500,https://www.monroevillelibrary.org,Allegheny
Norristown Public Library,1001 Powell St,Norristown,PA,19401,(610) 278-5100,https://www.mc-npl.org,Montgomery
Osterhout Free Library,71 S Franklin St,Wilkes-Barre,PA,18701,(570) 823-0156,https://www.osterhout.info,Luzerne
Reading Public Library,100 S 5th St,Reading,PA,19602,(610) 655-6350,https://www.readingpubliclibrary.org,Berks
Scranton Public Library,500 Vine St,Scranton,PA,18509,(570) 348-3000,https://www.albright.org,Lackawanna
State Library of Pennsylvania,607 South Dr,Harrisburg,PA,17120,(717) 783-5950,https://www.statelibrary.pa.gov,Dauphin
Thomas Beaver Free Library,205 Church St,Danville,PA,17821,(570) 275-4180,https://www.thomasbeaverfreelibrary.org,Montour
Warren Public Library,205 Market St,Warren,PA,16365,(814) 723-4650,https://www.warrenlibrary.org,Warren
West Chester Public Library,415 N Church St,West Chester,PA,19380,(610) 696-1721,https://www.wcpubliclibrary.org,Chester
York County Libraries,159 E Market St,York,PA,17401,(717) 846-5300,https://www.yorklibraries.org,York
